id,created_at,text
1196117334844411905,2019-11-17 17:26:10,b'https://t.co/z0I7wBsgTP'
1196117241546317825,2019-11-17 17:25:47,b'RT @RepDanCrenshaw: Coming soon...\n\nA new #HeresTheTruth with @RepGregWalden debunking Pelosi\xe2\x80\x99s drug pricing scheme. https://t.co/u9a8YBmb6o'
1196113968445739009,2019-11-17 17:12:47,b'RT @realDonaldTrump: https://t.co/5Tbgwkpv4p'
1196113962187853824,2019-11-17 17:12:45,b'RT @realDonaldTrump: https://t.co/65ERQ7YfUS'
1196113950917758978,2019-11-17 17:12:43,b'RT @realDonaldTrump: https://t.co/YqJrGDPAOj'
1196113831283613696,2019-11-17 17:12:14,"b'I agree Katrina, Pam Bondi is a great woman! https://t.co/NllcAz0bWB'"
1196111016515510274,2019-11-17 17:01:03,"b""RT @GOPoversight: \xf0\x9f\x93\xbaWATCH: Schiff's #impeachment sham is at it again. This time, he refuses to let @EliseStefanik speak (again). \n\nThis circ\xe2\x80\xa6"""
1196109916769005569,2019-11-17 16:56:41,b'The Do Nothing Dems are now doing even less - and soooo much work to be done!'
1196108650584125441,2019-11-17 16:51:39,"b'Joe Ricketts, one of our Country\xe2\x80\x99s most successful businessmen, including being the owner of the Chicago Cubs, has\xe2\x80\xa6 https://t.co/AZU3tnBHvm'"
1196105359355711488,2019-11-17 16:38:34,b'A BIG difference! https://t.co/DFjge9s7fO'
1196097712925691906,2019-11-17 16:08:11,"b'Our great Farmers will recieve another major round of \xe2\x80\x9ccash,\xe2\x80\x9d compliments of China Tariffs, prior to Thanksgiving.\xe2\x80\xa6 https://t.co/whkNS2TsLY'"
1196081088260722688,2019-11-17 15:02:08,"b'.@MariaBartiromo has a GREAT show going on right now, 10:00 A.M. Fantastic guests talk about the Fake Impeachment!  @FoxNews'"
1196080086686011398,2019-11-17 14:58:09,"b'Mr. Chairman, Joe Biden may be Sleepy and Very Slow, but he is not a \xe2\x80\x9crabid dog.\xe2\x80\x9d He is actually somewhat better th\xe2\x80\xa6 https://t.co/0nVPyEFfgf'"
1196067863070674947,2019-11-17 14:09:35,"b'Dowd never understood the pulse of the Republican Party, present or past. He\xe2\x80\x99s just a 3rd rate hit job for Fake New\xe2\x80\xa6 https://t.co/OemGtFOWid'"
1196063538986602496,2019-11-17 13:52:24,b'RT @EliseStefanik: How many times can Adam Schiff say \xe2\x80\x9cthe Gentlewoman is NOT recognized\xe2\x80\x9d? He clearly has NO interest in letting Republican\xe2\x80\xa6'
1196063349844430849,2019-11-17 13:51:39,b'A new Republican Star is born. Great going @EliseStefanik! https://t.co/9QH4oUa2eg'
1196062362731732992,2019-11-17 13:47:43,"b'RT @Liz_Wheeler: ""Do you have any info regarding the POTUS accepting any bribes?\n\nYovanovich: ""No.""\n\n""Do you have any info regarding any cr\xe2\x80\xa6'"
1196062220968443906,2019-11-17 13:47:09,b'RT @GOPoversight: .@EliseStefanik is on \xf0\x9f\x94\xa5\n\n@RepAdamSchiff can do nothing but watch his #impeachment sham crumble. https://t.co/SeOfq3dB5c'
1196061212833923072,2019-11-17 13:43:09,b'Thank you Pete. Our great warfighters must be allowed to fight. I would not have done this for Sgt. Bergdahl or Che\xe2\x80\xa6 https://t.co/bfn9C8I7WH'
1196056274091290624,2019-11-17 13:23:32,"b'RT @WhiteHouse: Ever since President @realDonaldTrump took action in the face of Congress\xe2\x80\x99 neglect, border apprehensions have plummeted by\xe2\x80\xa6'"
1196049133863354368,2019-11-17 12:55:09,"b'RT @RepLeeZeldin: Just finished the depo of OMB staffer, Mark Sandy, in Schiff\xe2\x80\x99s Capitol basement bunker. He came in to testify about why t\xe2\x80\xa6'"
1195931893998456832,2019-11-17 05:09:17,b'Visited a great family of a young man under major surgery at the amazing Walter Reed Medical Center. Those are trul\xe2\x80\xa6 https://t.co/LBL2DrBpCg'
1195902274922569728,2019-11-17 03:11:35,b'https://t.co/5Tbgwkpv4p'
1195890160006782976,2019-11-17 02:23:27,b'https://t.co/65ERQ7YfUS'
1195889880540336128,2019-11-17 02:22:20,b'https://t.co/YqJrGDPAOj'
1195870796352278532,2019-11-17 01:06:30,b'RT @realDonaldTrump: #NewHoaxSameSwamp https://t.co/GIg9R9Txe0'
1195775733932707840,2019-11-16 18:48:46,b'True! https://t.co/ySWZMUnQfd'
