id,created_at,text
1131861963510886400,2019-05-24 09:58:15,b'List of projects is up for the Data Science final presentations next Wednesday (May 29) at 18:00. Join us by regist\xe2\x80\xa6 https://t.co/gNxfNv8lrn'
1130840749833166853,2019-05-21 14:20:19,b'Take a 3 month Program in Switzerland. Code during the day - explore Europe over the weekends. \n\n#fullstack\xe2\x80\xa6 https://t.co/u1OfwYmYzI'
1128304011650772993,2019-05-14 14:20:13,b'Have you ever coded in JavaScript or Python? Get to know our Programs in Full-Stack Development and Data Science.'
1125734579573350400,2019-05-07 12:10:13,b'We are excited to share that you can vote for Propulsion Academy in the Top 100 startups in Switzerland. But we nee\xe2\x80\xa6 https://t.co/IzJLUUaZtr'
1123238123704549376,2019-04-30 14:50:12,b'Want to become a programmer? Thinking of a Coding Bootcamp? Our Program runs for 3 months in Switzerland. And you g\xe2\x80\xa6 https://t.co/KfYHViffGJ'
1122536544856870913,2019-04-28 16:22:22,"b'RT @LaurentMeyer12: Great words of wisdom from Markus Gross, co-founder of @_Propulsion and ever-so important to the Zurich startup scene.\xe2\x80\xa6'"
1120677543479267329,2019-04-23 13:15:22,b'Teaching yourself to code? Feel like this? We do too sometimes. Come join us in Switzerland for 3 months for a codi\xe2\x80\xa6 https://t.co/MHERJtlUhQ'
1118164690138480640,2019-04-16 14:50:11,b'IT workers continue to be in high demand in Switzerland. According to https://t.co/Qi15aeLLtA there are 17% more jo\xe2\x80\xa6 https://t.co/KPGID9RZvV'
1115600824321765377,2019-04-09 13:02:18,"b'""According to statistics from ICT-Berufsbildung, there is a need for additional 40\'000 software engineers by 2026"",\xe2\x80\xa6 https://t.co/yEjBrEKeYp'"
1113093408825004032,2019-04-02 14:58:43,"b'RT @ThomasBorer: #Switzerland is one of the most innovative countries in the world, yet a lot needs to be done to develop a robust startup\xe2\x80\xa6'"
1113051010329608192,2019-04-02 12:10:15,"b""'The 2019 Connectivity benchmark report' explains why IT and business leaders must tackle a new set of challenges o\xe2\x80\xa6 https://t.co/Bb8X8tCv2v"""
1111210787044032513,2019-03-28 10:17:51,b'Check out this Meetup: Propulsion Academy Final Projects - Full-Stack Batch #7 https://t.co/MzMbrEBX7L #Meetup #Z\xc3\xbcrich via @Meetup'
1110171557043814401,2019-03-25 13:28:19,"b'You should listen to the podcast by Anita Schmid, #machinelearning instructor at @_Propulsion explaining her journe\xe2\x80\xa6 https://t.co/6lNPlxEDm2'"
1109170190464532480,2019-03-22 19:09:15,b'RT @startuptickerCH: Give the people what they want. Examples of Swiss startups that are succesful because they satisfy important needs. Ou\xe2\x80\xa6'
1109105771193815040,2019-03-22 14:53:16,"b""big thanks to @SashaSchriber for the mention in today's @dgt_switzerland blog on how @_Propulsion contributes to pr\xe2\x80\xa6 https://t.co/JhyLxtrSt3"""
1107684418695639041,2019-03-18 16:45:19,b'Thx @nanos_ai for giving Kimball a shot and for all the great things you do!!! https://t.co/zFuJqLLTIR'
1105834037485232128,2019-03-13 14:12:34,b'Big welcome to the very talented and marvelous batch #6 of #DataScience students starting this week at @_Propulsion\xe2\x80\xa6 https://t.co/wbcAhSbxbg'
1105420403248377857,2019-03-12 10:48:56,"b""Only 2 days left to get the CHF 1'000 early registration discount for the #fullstack and #datascience programs star\xe2\x80\xa6 https://t.co/SrNWxHV3yp"""
1102570737595006979,2019-03-04 14:05:23,"b""Big welcome to Julia Devecchi Mas who joins @_Propulsion in Business Development! She's a recent uni grad in manage\xe2\x80\xa6 https://t.co/Bay5ooXRQr"""
1101188883914604545,2019-02-28 18:34:23,b'RT @F10_accelerator: Nitin currently leads the Data Science program at Propulsion Academy @_Propulsion. He has trained more than 60 young #\xe2\x80\xa6'
1100489938129301505,2019-02-26 20:17:02,b'Many thanks to Mary Fiadjigbe for the @_Propulsion inspired carrot cake! What a marvelous creation and treat for th\xe2\x80\xa6 https://t.co/Vzmg5jXV2y'
1096395232105689089,2019-02-15 13:06:08,"b'Big congrats to Markus Gross, educational adviser and co-founder at @_Propulsion, and team for taking home the Tech\xe2\x80\xa6 https://t.co/HZoZH9ZXe8'"
1096395029478850560,2019-02-15 13:05:19,b'@data_career big thanks to you for the good words and the support! https://t.co/zy92FT6Xb2'
1096394954627272715,2019-02-15 13:05:01,b'@data_career @data_career big thanks to you for the good words and the support!'
1095332338471395328,2019-02-12 14:42:34,b'Very special welcome to batch 7 of Propulsion Academy Z\xc3\xbcrich Full-Stack students that started last week. Let the jo\xe2\x80\xa6 https://t.co/YlKSVd3wvV'
1093828827392950272,2019-02-08 11:08:09,"b""List of speakers and projects are up for next week's #datascience final projects on Wednesday, February 13 starting\xe2\x80\xa6 https://t.co/jJuiggq0MY"""
1089972212323500036,2019-01-28 19:43:20,"b'Hello everyone, we are looking for a Junior Business Developer. She or he needs to speak Swiss German (German + Eng\xe2\x80\xa6 https://t.co/QPS8S82ZzX'"
1087045865196400641,2019-01-20 17:55:05,"b'Come see the @_Propulsion Data Science batch 5 present their final projects on February 13, 18:00 - 20:00 at\xe2\x80\xa6 https://t.co/co314NwDJI'"
1084432278485417985,2019-01-13 12:49:37,b'Next corporate #Web #Development bootcamp got under way this week at @_Propulsion Welcome students from @ringier_ag\xe2\x80\xa6 https://t.co/mquHLu1F0O'
1083040938971279362,2019-01-09 16:40:56,"b'HNY 2019! After a successful pilot year in 2017, it was even better in 2018: we doubled the number of graduates to\xe2\x80\xa6 https://t.co/nDXsPcmJYJ'"
1070642267587821574,2018-12-06 11:33:02,b'Thrilled that @_Propulsion students had the opportunity to work on their final projects provided in collaboration w\xe2\x80\xa6 https://t.co/wkIvhcsNBk'
1068239290059112448,2018-11-29 20:24:28,b'Big thanks to @g33konauthis and manager John for the tour and showing the current batch of #fullstack students the\xe2\x80\xa6 https://t.co/IocLpS3kRV'
1064944890604326913,2018-11-20 18:13:42,b'@codelane_ch website looking awesome! Nice to see it up. You guys rock!'
1062285761159016448,2018-11-13 10:07:16,b'Welcome to the very talented and large Data Science batch #5 to @_Propulsion! Our biggest program ever (the largest\xe2\x80\xa6 https://t.co/2PNDSrfh1I'
1057997569203339266,2018-11-01 14:07:31,"b'Want to learn to read and write code in a practical and fun way? Announcing Web Development Toolkit, a one week int\xe2\x80\xa6 https://t.co/Df1NjNAJTe'"
1057994826048778242,2018-11-01 13:56:37,"b'A @_Propulsion first: introducing Data Science Toolkit, a one-week course for those who want to get into Data Scien\xe2\x80\xa6 https://t.co/sNIdBEqYlL'"
1057594797584736256,2018-10-31 11:27:03,"b'Meet Gal Jackson and Kimball Bradford, two 17 year-olds currently participating in the @propulsion Full-Stack progr\xe2\x80\xa6 https://t.co/COUzUorcqc'"
1057000134310027266,2018-10-29 20:04:04,"b'Congratulations @cottalucas , former @_Propulsion Data Science student for creating https://t.co/4QNcEXzhD9, a web\xe2\x80\xa6 https://t.co/KOHvx76pKq'"
1055119628601647104,2018-10-24 15:31:37,"b""Get CHF 1'000 off tution by applying now: https://t.co/4H3hniUKYA. Join a growing community of more than 100 gradua\xe2\x80\xa6 https://t.co/ZzF0pqT1m5"""
1054731851426865153,2018-10-23 13:50:44,b'Batch #4 of #datascience students finished the program on a high note with amazing final projects! What an honor it\xe2\x80\xa6 https://t.co/2dak0R0Lvu'
1052593884872826880,2018-10-17 16:15:13,b'Infographic: How Much #Data Is Generated Every Minute of the Day? #DataScience https://t.co/skORo3vWRy'
1050722439007784960,2018-10-12 12:18:45,"b'Project list is up for the @_Propulsion #datascience  final presentations at @technopark_zh on Wed, October 17 (eve\xe2\x80\xa6 https://t.co/0a8GsEBuhP'"
1049959009275535360,2018-10-10 09:45:09,b'Do We Need To Teach Ethics And Empathy To Data Scientists? #DataScience https://t.co/zw2H5rovl1'
1048998243726761984,2018-10-07 18:07:25,b'Tomorrow is the last day to register for the Next #datascience program starting on November 12! Apply now:\xe2\x80\xa6 https://t.co/wCCh1Ra969'
1048871822958239744,2018-10-07 09:45:04,b'What Does a Degree in #DataScience Really Mean? https://t.co/IOT03XF8n2'
1048618917776838657,2018-10-06 17:00:07,b'Knowledge graphs beyond the hype: Getting knowledge in and out of graphs and databases | 7wData\xe2\x80\xa6 https://t.co/XbKTheRE5N'
1048607592853979136,2018-10-06 16:15:06,b'I know; therefore I do. (via Passle) https://t.co/btdr2jq8Ah #DataScience'
1048504497356648449,2018-10-06 09:25:27,"b""Come see us in person today @technopark_zh for the 25 year anniversary. Event is open to anyone and it's a great op\xe2\x80\xa6 https://t.co/fsT3jygqc1"""
1048472388789293056,2018-10-06 07:17:51,b'RT @technopark_zh: In einer Stunde gehen sie auf- die T\xc3\xbcren zum #Technopark #Z\xc3\xbcrich!\xf0\x9f\x98\x81\nKommt vorbei und entdeckt die Zukunft!\nhttps://t.co/j\xe2\x80\xa6'
1047518929827123205,2018-10-03 16:09:09,b'Become a data scientist in Switzerland. Apply by October 7th 2018! https://t.co/AXorHohSAP #DataScience\xe2\x80\xa6 https://t.co/eCP5VDBh2r'
1047422290508599297,2018-10-03 09:45:08,b'#BigData comes with big questions https://t.co/hGxnwAvMWo #DataScience'
1047169380092719107,2018-10-02 17:00:10,b'What Is Deep Learning #AI? A Simple Guide With 8 Practical Examples https://t.co/iaY0C1LP6h #DataScience'
1047158048786145281,2018-10-02 16:15:08,b'8 ways #AI can help save the planet https://t.co/C9pvL5PKWo #DataScience'
1047068457307656195,2018-10-02 10:19:08,b'80+ Free Data Science Books https://t.co/sQMyu8qx25 #DataScience #Zurich #Propulsion'
1045410177682427904,2018-09-27 20:29:43,"b'Happy to see that @MarkusGross63, Educational Adviser and Co-Founder at @_Propulsion is yet again a Digital Shaper\xe2\x80\xa6 https://t.co/dIzgjKp06t'"
1044502184115802112,2018-09-25 08:21:41,b'Registration for the final projects for the #datascience batch #4 is now open: https://t.co/AFHKLBPBmr. Come and se\xe2\x80\xa6 https://t.co/tOhpKE3zpA'
1044309643886022658,2018-09-24 19:36:36,"b'Join @_Propulsion for the 25th anniversary of @technopark_zh on Saturday, October 6. You will see all the great thi\xe2\x80\xa6 https://t.co/aeWmqIDIhE'"
1041958407945838593,2018-09-18 07:53:37,"b'Another big class started @_Propulsion this time batch #6 of #fullstack students. Two 17 year-olds, CEO, students f\xe2\x80\xa6 https://t.co/AIXM5Clk7c'"
